LotArea,Neighborhood,OverallQual,YearBuilt,Exterior1st,ExterQual,Foundation,BsmtQual,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,FullBath,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageArea,GarageQual,WoodDeckSF,OpenPorchSF,SalePrice
8450,CollgCr,7,2003,VinylSd,Gd,PConc,Gd,GLQ,706,150,856,Ex,SBrkr,856,854,0,1710,1,2,Gd,8,0,NA,Attchd,RFn,548,TA,0,61,208500
9600,Veenker,6,1976,MetalSd,TA,CBlock,Gd,ALQ,978,284,1262,Ex,SBrkr,1262,0,0,1262,0,2,TA,6,1,TA,Attchd,RFn,460,TA,298,0,181500
11250,CollgCr,7,2001,VinylSd,Gd,PConc,Gd,GLQ,486,434,920,Ex,SBrkr,920,866,0,1786,1,2,Gd,6,1,TA,Attchd,RFn,608,TA,0,42,223500
9550,Crawfor,7,1915,Wd Sdng,TA,BrkTil,TA,ALQ,216,540,756,Gd,SBrkr,961,756,0,1717,1,1,Gd,7,1,Gd,Detchd,Unf,642,TA,0,35,140000
14260,NoRidge,8,2000,VinylSd,Gd,PConc,Gd,GLQ,655,490,1145,Ex,SBrkr,1145,1053,0,2198,1,2,Gd,9,1,TA,Attchd,RFn,836,TA,192,84,250000
14115,Mitchel,5,1993,VinylSd,TA,Wood,Gd,GLQ,732,64,796,Ex,SBrkr,796,566,0,1362,1,1,TA,5,0,NA,Attchd,Unf,480,TA,40,30,143000
10084,Somerst,8,2004,VinylSd,Gd,PConc,Ex,GLQ,1369,317,1686,Ex,SBrkr,1694,0,0,1694,1,2,Gd,7,1,Gd,Attchd,RFn,636,TA,255,57,307000
10382,NWAmes,7,1973,HdBoard,TA,CBlock,Gd,ALQ,859,216,1107,Ex,SBrkr,1107,983,0,2090,1,2,TA,7,2,TA,Attchd,RFn,484,TA,235,204,200000
6120,OldTown,7,1931,BrkFace,TA,BrkTil,TA,Unf,0,952,952,Gd,FuseF,1022,752,0,1774,0,2,TA,8,2,TA,Detchd,Unf,468,Fa,90,0,129900
7420,BrkSide,5,1939,MetalSd,TA,BrkTil,TA,GLQ,851,140,991,Ex,SBrkr,1077,0,0,1077,1,1,TA,5,2,TA,Attchd,RFn,205,Gd,0,4,118000
11200,Sawyer,5,1965,HdBoard,TA,CBlock,TA,Rec,906,134,1040,Ex,SBrkr,1040,0,0,1040,1,1,TA,5,0,NA,Detchd,Unf,384,TA,0,0,129500
7945,NAmes,5,1959,BrkFace,TA,CBlock,TA,ALQ,179,465,1150,Ex,FuseA,1150,0,0,1150,1,1,TA,6,0,NA,Attchd,RFn,300,TA,0,0,141000
7658,NridgHt,9,2005,MetalSd,Ex,PConc,Ex,GLQ,456,1296,1752,Ex,SBrkr,1752,0,0,1752,1,2,Ex,6,1,Gd,Attchd,RFn,576,TA,196,82,319900
12822,Mitchel,7,2003,VinylSd,Gd,PConc,Ex,GLQ,1351,83,1434,Ex,SBrkr,1518,631,0,2149,1,1,Gd,6,1,Ex,Attchd,RFn,670,TA,168,43,239686
11096,Somerst,8,2006,VinylSd,Gd,PConc,Gd,GLQ,24,1632,1656,Ex,SBrkr,1656,0,0,1656,0,2,Gd,7,0,NA,Attchd,RFn,826,TA,0,146,249700
